Id;Label;Greek;Nature;Longitude;Latitude;Source;Target;Port-commodity;Source-a;Target-a;Type;port-port;;;Source-b;Target-b;Port-commodity group;Source-d;Target-d;Commodity groups;Id;Label
;;;;;;2011;1006;;;;;;;;2119;1006;;;;;;
;;;;;;2012;1006;;;;;;;;2118;1006;;;;;;
;;;;;;2013;1006;;;;;;;;2117;1006;;;;;;
;;;;;;2014;1006;;;;;;;;2117;1006;;;;;;
;;;;;;2015;1006;;;;;;;;2117;1006;;;;;;
;;;;;;2016;1006;;;;;;;;2119;1006;;;;;;
;;;;;;2017;1006;;;;;;;;2127;1006;;;;;;
;;;;;;2018;1006;;;;;;;;2119;1006;;;;;;
;;;;;;2019;1006;;;;;;;;2119;1006;;;;;;
;;;;;;2020;1006;;;;;;;;2111;1006;;;;;;
;;;;;;2021;1006;;;;;;;;2114;1006;;;;;;
;;;;;;2022;1006;;;;;;;;2114;1006;;;;;;
;;;;;;2023;1006;;;;;;;;2114;1006;;;;;;
;;;;;;2024;1006;;;;;;;;2111;1006;;;;;;
;;;;;;2025;1006;;;;;;;;2114;1006;;;;;;
;;;;;;2026;1006;;;;;;;;2112;1006;;;;;;
;;;;;;2027;1006;;;;;;;;2127;1006;;;;;;
;;;;;;1006;2001;;;;;;;;1006;2001;;;;;;
;;;;;;1006;2028;;;;;;;;1006;2028;;;;;;
;;;;;;2030;1006;;;;;;;;2030;1006;;;;;;
;;;;;;2031;1006;;;;;;;;2126;1006;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1007;Barygaza;;;72.59;21.41;1007;2012;;;;;;;;1007;2118;;;;;;
;;;;;;1007;2020;;;;;;;;1007;2111;;;;;;
;;;;;;1007;2021;;;;;;;;1007;2114;;;;;;
;;;;;;1007;2081;;;;;;;;1007;2122;;;;;;
;;;;;;1007;2022;;;;;;;;1007;2114;;;;;;
;;;;;;1007;2023;;;;;;;;1007;2114;;;;;;
;;;;;;1007;2023;;;;;;;;1007;2114;;;;;;
;;;;;;1007;2024;;;;;;;;1007;2111;;;;;;
;;;;;;1007;2024;;;;;;;;1007;2111;;;;;;
;;;;;;1007;2025;;;;;;;;1007;2114;;;;;;
;;;;;;1007;2026;;;;;;;;1007;2112;;;;;;
;;;;;;1007;2027;;;;;;;;1007;2120;;;;;;
;;;;;;1007;2032;;;;;;;;1007;2032;;;;;;
;;;;;;1007;2044;;;;;;;;1007;2044;;;;;;
;;;;;;1007;2055;;;;;;;;1007;2055;;;;;;
;;;;;;1007;2055;;;;;;;;1007;2055;;;;;;
;;;;;;1007;2056;;;;;;;;1007;2126;;;;;;
;;;;;;1007;2057;;;;;;;;1007;2126;;;;;;
;;;;;;1007;2058;;;;;;;;1007;2122;;;;;;
;;;;;;1007;2063;;;;;;;;1007;2113;;;;;;
;;;;;;1007;2071;;;;;;;;1007;2118;;;;;;
;;;;;;1007;2076;;;;;;;;1007;2125;;;;;;
;;;;;;1007;2077;;;;;;;;1007;2125;;;;;;
;;;;;;1007;2078;;;;;;;;1007;2125;;;;;;
;;;;;;1007;2089;;;;;;;;1007;2122;;;;;;
;;;;;;1007;2093;;;;;;;;1007;2115;;;;;;
;;;;;;1007;2087;;;;;;;;1007;2122;;;;;;
;;;;;;1007;2002;;;;;;;;1007;2002;;;;;;
;;;;;;1007;2096;;;;;;;;1007;2124;;;;;;
;;;;;;1007;2097;;;;;;;;1007;2124;;;;;;
;;;;;;1007;2088;;;;;;;;1007;2122;;;;;;
;;;;;;1007;2094;;;;;;;;1007;2115;;;;;;
;;;;;;1007;2102;;;;;;;;1007;2130;;;;;;
;;;;;;2017;1007;;;;;;;;2127;1007;;;;;;
;;;;;;2018;1007;;;;;;;;2119;1007;;;;;;
;;;;;;2024;1007;;;;;;;;2111;1007;;;;;;
;;;;;;2025;1007;;;;;;;;2114;1007;;;;;;
;;;;;;2026;1007;;;;;;;;2112;1007;;;;;;
;;;;;;2030;1007;;;;;;;;2030;1007;;;;;;
;;;;;;2030;1007;;;;;;;;2030;1007;;;;;;
;;;;;;2033;1007;;;;;;;;2118;1007;;;;;;
;;;;;;2044;1007;;;;;;;;2044;1007;;;;;;
;;;;;;2059;1007;;;;;;;;2113;1007;;;;;;
;;;;;;2063;1007;;;;;;;;2113;1007;;;;;;
;;;;;;2065;1007;;;;;;;;2128;1007;;;;;;
;;;;;;2068;1007;;;;;;;;2111;1007;;;;;;
;;;;;;2071;1007;;;;;;;;2118;1007;;;;;;
;;;;;;2072;1007;;;;;;;;2072;1007;;;;;;
;;;;;;2073;1007;;;;;;;;2073;1007;;;;;;
;;;;;;2079;1007;;;;;;;;2079;1007;;;;;;
;;;;;;2080;1007;;;;;;;;2111;1007;;;;;;
;;;;;;2131;1007;;;;;;;;2118;1007;;;;;;
;;;;;;2082;1007;;;;;;;;2111;1007;;;;;;
;;;;;;2082;1007;;;;;;;;2111;1007;;;;;;
;;;;;;2083;1007;;;;;;;;2111;1007;;;;;;
;;;;;;2085;1007;;;;;;;;2111;1007;;;;;;
;;;;;;2087;1007;;;;;;;;2122;1007;;;;;;
;;;;;;2089;1007;;;;;;;;2122;1007;;;;;;
;;;;;;2096;1007;;;;;;;;2124;1007;;;;;;
;;;;;;2097;1007;;;;;;;;2124;1007;;;;;;
;;;;;;2098;1007;;;;;;;;2118;1007;;;;;;
;;;;;;2099;1007;;;;;;;;2128;1007;;;;;;
;;;;;;2100;1007;;;;;;;;2116;1007;;;;;;
;;;;;;2101;1007;;;;;;;;2130;1007;;;;;;
;;;;;;2102;1007;;;;;;;;2130;1007;;;;;;
;;;;;;2116;1007;;;;;;;;2131;1007;;;;;;
;;;;;;2093;1007;;;;;;;;2115;1007;;;;;;
;;;;;;2094;1007;;;;;;;;2115;1007;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1008;Avalites;;Emporion;43.09;12.40;2008;1008;;;;;;Un¿yaktig poisjon;;2131;1008;;;;;;
;;;;;;2029;1008;;;;;;;;2128;1008;;;;;;
;;;;;;2032;1008;;;;;;;;2032;1008;;;;;;
;;;;;;2003;1008;;;;;;;;2111;1008;;;;;;
;;;;;;2030;1008;;;;;;;;2030;1008;;;;;;
;;;;;;2033;1008;;;;;;;;2118;1008;;;;;;
;;;;;;1008;2034;;;;;;;;1008;2121;;;;;;
;;;;;;1008;2001;;;;;;;;1008;2001;;;;;;
;;;;;;1008;2002;;;;;;;;1008;2002;;;;;;
;;;;;;1008;2035;;;;;;;;1008;2121;;;;;;
;;;;;;2022;1008;;;;;;;;2114;1008;;;;;;
;;;;;;2023;1008;;;;;;;;2114;1008;;;;;;
;;;;;;2024;1008;;;;;;;;2111;1008;;;;;;
;;;;;;2032;1008;;;;;;;;2032;1008;;;;;;
;;;;;;2055;1008;;;;;;;;2055;1008;;;;;;
;;;;;;2056;1008;;;;;;;;2126;1008;;;;;;
;;;;;;2057;1008;;;;;;;;2126;1008;;;;;;
;;;;;;2058;1008;;;;;;;;2122;1008;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1009;Okelis;;;43.28;12.41;2034;1009;;;;;;Un¿yaktig posisjon;;2121;1009;;;;;;
;;;;;;2001;1009;;;;;;;;2001;1009;;;;;;
;;;;;;2002;1009;;;;;;;;2002;1009;;;;;;
;;;;;;2025;1009;;;;;;;;2114;1009;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
